type,id,attributes.accession,attributes.pipeline-version,attributes.experiment-type,attributes.analysis-status,attributes.analysis-summary,attributes.is-private,attributes.last-update,attributes.complete-time,attributes.instrument-platform,attributes.instrument-model,relationships.study.data.id,relationships.study.data.type,relationships.run.data.id,relationships.run.data.type,relationships.sample.data.id,relationships.sample.data.type
analysis-jobs,MGYA00776554,MGYA00776554,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '21673'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '19227'}, {'key': 'Nucleotide sequences after length filtering', 'value': '19227'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '19227'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '19225'}]",False,2024-07-29T08:21:38.372892,2024-07-29T08:21:37,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716991,runs,SRS5841565,samples
analysis-jobs,MGYA00776556,MGYA00776556,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '23012'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '20239'}, {'key': 'Nucleotide sequences after length filtering', 'value': '20239'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '20239'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '20233'}]",False,2024-07-29T08:21:52.352840,2024-07-29T08:21:51,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716988,runs,SRS5841567,samples
analysis-jobs,MGYA00776558,MGYA00776558,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '34171'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '30365'}, {'key': 'Nucleotide sequences after length filtering', 'value': '30365'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '30365'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '26508'}]",False,2024-07-29T08:22:06.767717,2024-07-29T08:22:05,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716987,runs,SRS5841568,samples
analysis-jobs,MGYA00776562,MGYA00776562,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '23096'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '20564'}, {'key': 'Nucleotide sequences after length filtering', 'value': '20564'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '20564'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '18232'}]",False,2024-07-29T08:22:24.010636,2024-07-29T08:22:22,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716986,runs,SRS5841569,samples
analysis-jobs,MGYA00776565,MGYA00776565,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '29903'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '26402'}, {'key': 'Nucleotide sequences after length filtering', 'value': '26402'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '26402'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '26401'}]",False,2024-07-29T08:22:42.616360,2024-07-29T08:22:39,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716981,runs,SRS5841574,samples
analysis-jobs,MGYA00776569,MGYA00776569,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '20711'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '18262'}, {'key': 'Nucleotide sequences after length filtering', 'value': '18262'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '18262'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '18249'}]",False,2024-07-29T08:22:59.851321,2024-07-29T08:22:57,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716977,runs,SRS5841582,samples
analysis-jobs,MGYA00776572,MGYA00776572,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '41199'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '37619'}, {'key': 'Nucleotide sequences after length filtering', 'value': '37619'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '37619'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '25674'}]",False,2024-07-29T08:23:14.071007,2024-07-29T08:23:12,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716975,runs,SRS5841583,samples
analysis-jobs,MGYA00776575,MGYA00776575,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '16546'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '14627'}, {'key': 'Nucleotide sequences after length filtering', 'value': '14627'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '14627'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '14625'}]",False,2024-07-29T08:23:30.332351,2024-07-29T08:23:28,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716972,runs,SRS5841584,samples
analysis-jobs,MGYA00776578,MGYA00776578,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '25883'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '22977'}, {'key': 'Nucleotide sequences after length filtering', 'value': '22977'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '22977'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '22966'}]",False,2024-07-29T08:23:44.145698,2024-07-29T08:23:43,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716968,runs,SRS5841592,samples
analysis-jobs,MGYA00776581,MGYA00776581,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '37614'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '33748'}, {'key': 'Nucleotide sequences after length filtering', 'value': '33748'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '33748'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '33740'}]",False,2024-07-29T08:23:57.574876,2024-07-29T08:23:56,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716967,runs,SRS5841590,samples
analysis-jobs,MGYA00776584,MGYA00776584,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '43498'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '38181'}, {'key': 'Nucleotide sequences after length filtering', 'value': '38181'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '38181'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '38163'}]",False,2024-07-29T08:24:11.268412,2024-07-29T08:24:10,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716958,runs,SRS5841600,samples
analysis-jobs,MGYA00776588,MGYA00776588,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '24509'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '21998'}, {'key': 'Nucleotide sequences after length filtering', 'value': '21998'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '21998'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '21996'}]",False,2024-07-29T08:24:27.048747,2024-07-29T08:24:25,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716954,runs,SRS5841603,samples
analysis-jobs,MGYA00776592,MGYA00776592,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '284'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '225'}, {'key': 'Nucleotide sequences after length filtering', 'value': '225'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '225'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '222'}]",False,2024-07-29T08:24:43.874890,2024-07-29T08:24:42,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716950,runs,SRS5841608,samples
analysis-jobs,MGYA00776595,MGYA00776595,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '28877'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '25723'}, {'key': 'Nucleotide sequences after length filtering', 'value': '25723'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '25723'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '25720'}]",False,2024-07-29T08:24:58.242266,2024-07-29T08:24:56,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716946,runs,SRS5841614,samples
analysis-jobs,MGYA00776598,MGYA00776598,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '28042'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '24630'}, {'key': 'Nucleotide sequences after length filtering', 'value': '24630'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '24630'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '24623'}]",False,2024-07-29T08:25:12.255786,2024-07-29T08:25:11,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716945,runs,SRS5841612,samples
analysis-jobs,MGYA00776601,MGYA00776601,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '28076'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '24860'}, {'key': 'Nucleotide sequences after length filtering', 'value': '24860'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '24860'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '24856'}]",False,2024-07-29T08:25:26.369867,2024-07-29T08:25:25,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716936,runs,SRS5841622,samples
analysis-jobs,MGYA00776604,MGYA00776604,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '33889'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '30059'}, {'key': 'Nucleotide sequences after length filtering', 'value': '30059'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '30059'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '30040'}]",False,2024-07-29T08:25:39.451438,2024-07-29T08:25:38,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716934,runs,SRS5841626,samples
analysis-jobs,MGYA00776607,MGYA00776607,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '35004'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '31285'}, {'key': 'Nucleotide sequences after length filtering', 'value': '31285'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '31285'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '31278'}]",False,2024-07-29T08:25:54.131290,2024-07-29T08:25:53,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716927,runs,SRS5841633,samples
analysis-jobs,MGYA00776610,MGYA00776610,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '38675'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '34505'}, {'key': 'Nucleotide sequences after length filtering', 'value': '34505'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '34505'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '34487'}]",False,2024-07-29T08:26:08.698459,2024-07-29T08:26:07,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716925,runs,SRS5841631,samples
analysis-jobs,MGYA00776613,MGYA00776613,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '26707'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '23969'}, {'key': 'Nucleotide sequences after length filtering', 'value': '23969'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '23969'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '23957'}]",False,2024-07-29T08:26:22.530830,2024-07-29T08:26:21,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716924,runs,SRS5841634,samples
analysis-jobs,MGYA00776617,MGYA00776617,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '39208'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '35141'}, {'key': 'Nucleotide sequences after length filtering', 'value': '35141'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '35141'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '35138'}]",False,2024-07-29T08:26:36.716358,2024-07-29T08:26:35,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716923,runs,SRS5841635,samples
analysis-jobs,MGYA00776620,MGYA00776620,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '26481'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '23778'}, {'key': 'Nucleotide sequences after length filtering', 'value': '23778'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '23778'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '23776'}]",False,2024-07-29T08:26:50.273154,2024-07-29T08:26:49,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716921,runs,SRS5841638,samples
analysis-jobs,MGYA00776624,MGYA00776624,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '41051'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '36067'}, {'key': 'Nucleotide sequences after length filtering', 'value': '36067'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '36067'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '36065'}]",False,2024-07-29T08:27:05.344532,2024-07-29T08:27:04,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716914,runs,SRS5841643,samples
analysis-jobs,MGYA00776627,MGYA00776627,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '38812'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '34951'}, {'key': 'Nucleotide sequences after length filtering', 'value': '34951'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '34951'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '34941'}]",False,2024-07-29T08:27:20.541436,2024-07-29T08:27:19,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716906,runs,SRS5841652,samples
analysis-jobs,MGYA00776630,MGYA00776630,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '30556'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '27118'}, {'key': 'Nucleotide sequences after length filtering', 'value': '27118'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '27118'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '27112'}]",False,2024-07-29T08:27:34.593741,2024-07-29T08:27:33,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716903,runs,SRS5841654,samples
analysis-jobs,MGYA00776633,MGYA00776633,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '28328'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '25295'}, {'key': 'Nucleotide sequences after length filtering', 'value': '25295'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '25295'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '21664'}]",False,2024-07-29T08:27:48.057495,2024-07-29T08:27:47,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716894,runs,SRS5841666,samples
analysis-jobs,MGYA00776636,MGYA00776636,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '36137'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '32363'}, {'key': 'Nucleotide sequences after length filtering', 'value': '32363'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '32363'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '27413'}]",False,2024-07-29T08:28:01.835603,2024-07-29T08:28:00,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716892,runs,SRS5841668,samples
analysis-jobs,MGYA00776640,MGYA00776640,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '43015'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '38551'}, {'key': 'Nucleotide sequences after length filtering', 'value': '38551'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '38551'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '31604'}]",False,2024-07-29T08:28:17.477314,2024-07-29T08:28:16,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716890,runs,SRS5841665,samples
analysis-jobs,MGYA00776643,MGYA00776643,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '28299'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '25140'}, {'key': 'Nucleotide sequences after length filtering', 'value': '25140'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '25140'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '17347'}]",False,2024-07-29T08:28:31.142383,2024-07-29T08:28:30,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716881,runs,SRS5841678,samples
analysis-jobs,MGYA00776646,MGYA00776646,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '33019'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '29475'}, {'key': 'Nucleotide sequences after length filtering', 'value': '29475'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '29475'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '25704'}]",False,2024-07-29T08:28:45.567770,2024-07-29T08:28:44,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716877,runs,SRS5841681,samples
analysis-jobs,MGYA00776650,MGYA00776650,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '43850'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '39337'}, {'key': 'Nucleotide sequences after length filtering', 'value': '39337'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '39337'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '31254'}]",False,2024-07-29T08:29:01.197535,2024-07-29T08:28:59,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716868,runs,SRS5841688,samples
analysis-jobs,MGYA00776653,MGYA00776653,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '33584'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '29974'}, {'key': 'Nucleotide sequences after length filtering', 'value': '29974'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '29974'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '27037'}]",False,2024-07-29T08:29:15.904103,2024-07-29T08:29:14,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716866,runs,SRS5841692,samples
analysis-jobs,MGYA00776657,MGYA00776657,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '48294'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '42723'}, {'key': 'Nucleotide sequences after length filtering', 'value': '42723'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '42723'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '35150'}]",False,2024-07-29T08:29:31.796139,2024-07-29T08:29:30,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716865,runs,SRS5841693,samples
analysis-jobs,MGYA00776660,MGYA00776660,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '44097'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '38948'}, {'key': 'Nucleotide sequences after length filtering', 'value': '38948'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '38948'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '32867'}]",False,2024-07-29T08:29:46.437884,2024-07-29T08:29:45,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716862,runs,SRS5841694,samples
analysis-jobs,MGYA00776663,MGYA00776663,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '30382'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '26984'}, {'key': 'Nucleotide sequences after length filtering', 'value': '26984'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '26984'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '23707'}]",False,2024-07-29T08:30:00.359618,2024-07-29T08:29:59,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716856,runs,SRS5841701,samples
analysis-jobs,MGYA00776666,MGYA00776666,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '50998'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '45011'}, {'key': 'Nucleotide sequences after length filtering', 'value': '45011'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '45011'}, {'key': 'Predicted LSU sequences', 'value': '1'}, {'key': 'Predicted SSU sequences', 'value': '34279'}]",False,2024-07-29T08:30:14.238981,2024-07-29T08:30:13,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716854,runs,SRS5841706,samples
analysis-jobs,MGYA00776669,MGYA00776669,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '44269'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '39326'}, {'key': 'Nucleotide sequences after length filtering', 'value': '39326'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '39326'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '35226'}]",False,2024-07-29T08:30:28.471722,2024-07-29T08:30:27,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716849,runs,SRS5841709,samples
analysis-jobs,MGYA00776673,MGYA00776673,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '41433'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '36515'}, {'key': 'Nucleotide sequences after length filtering', 'value': '36515'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '36515'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '32181'}]",False,2024-07-29T08:30:43.913180,2024-07-29T08:30:42,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716847,runs,SRS5841712,samples
analysis-jobs,MGYA00776677,MGYA00776677,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '58064'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '51339'}, {'key': 'Nucleotide sequences after length filtering', 'value': '51339'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '51339'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '35927'}]",False,2024-07-29T08:30:58.916447,2024-07-29T08:30:57,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716841,runs,SRS5841716,samples
analysis-jobs,MGYA00776680,MGYA00776680,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '28935'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '25508'}, {'key': 'Nucleotide sequences after length filtering', 'value': '25508'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '25508'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '18481'}]",False,2024-07-29T08:31:12.927190,2024-07-29T08:31:11,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716837,runs,SRS5841721,samples
analysis-jobs,MGYA00776683,MGYA00776683,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '41423'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '36130'}, {'key': 'Nucleotide sequences after length filtering', 'value': '36130'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '36130'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '21485'}]",False,2024-07-29T08:31:25.847639,2024-07-29T08:31:24,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716834,runs,SRS5841725,samples
analysis-jobs,MGYA00776686,MGYA00776686,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '51359'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '45093'}, {'key': 'Nucleotide sequences after length filtering', 'value': '45093'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '45093'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '35298'}]",False,2024-07-29T08:31:38.816474,2024-07-29T08:31:37,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716833,runs,SRS5841724,samples
analysis-jobs,MGYA00776690,MGYA00776690,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '38778'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '34707'}, {'key': 'Nucleotide sequences after length filtering', 'value': '34707'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '34707'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '31205'}]",False,2024-07-29T08:31:53.846854,2024-07-29T08:31:52,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716830,runs,SRS5841727,samples
analysis-jobs,MGYA00776693,MGYA00776693,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '65616'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '59296'}, {'key': 'Nucleotide sequences after length filtering', 'value': '59296'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '59296'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '29462'}]",False,2024-07-29T08:32:08.991584,2024-07-29T08:32:07,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716826,runs,SRS5841730,samples
analysis-jobs,MGYA00776696,MGYA00776696,5.0,amplicon,completed,"[{'key': 'Submitted nucleotide sequences', 'value': '46967'}, {'key': 'Nucleotide sequences after format-specific filtering', 'value': '41830'}, {'key': 'Nucleotide sequences after length filtering', 'value': '41830'}, {'key': 'Nucleotide sequences after undetermined bases filtering', 'value': '41830'}, {'key': 'Predicted LSU sequences', 'value': '0'}, {'key': 'Predicted SSU sequences', 'value': '36564'}]",False,2024-07-29T08:32:22.368975,2024-07-29T08:32:21,ILLUMINA,Illumina MiSeq,MGYS00006680,studies,SRR10716824,runs,SRS5841735,samples
